Address,Interruption,Planned,Reported On,Restoration Time,Impact
"LINCOLN - Building 03  1960 PARK AVENUE  NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 8:15 AM,3 Hours,BuildingsUnitsPopulation  1126307
"LINCOLN - Building 05  2121 MADISON AVENUE  NEW YORK, NY 10037",Elevator NO SERVICE,Unplanned,02/27/2020 8:21 PM,7 Hours,BuildingsUnitsPopulation  12454
"LOW HOUSES - Building 01  180 POWELL STREET  BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 6:34 PM,5 Hours,BuildingsUnitsPopulation  1131345
"MANHATTANVILLE - Building 03  1420 AMSTERDAM AVENUE  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 3:52 PM,20 Hours,BuildingsUnitsPopulation  1215519
"MANHATTANVILLE - Building 04  1430 AMSTERDAM AVENUE  NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 12:38 AM,3 Hours,BuildingsUnitsPopulation  1214501
"MARBLE HILL - Building 11  210 WEST 230TH STREET  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:51 AM,31 Hours,BuildingsUnitsPopulation  1154268
"MARCY - Building 24  125 NOSTRAND AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/27/2020 5:50 PM,22 Hours,BuildingsUnitsPopulation  12470
"MARCY - Building 21  554 MARCY AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/29/2020 10:05 AM,1 Hours,BuildingsUnitsPopulation  12458
"MCKINLEY - Building 03  730 EAST 163RD STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 7:25 PM,20 Hours,BuildingsUnitsPopulation  1122294
"MILL BROOK - Building 04  530 EAST 137TH STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 3:03 PM,11 Hours,BuildingsUnitsPopulation  1135289
"MORRIS - Building 05  1309 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 5:33 AM,1 Hours,BuildingsUnitsPopulation  1126399
"MORRIS - Building 04  1343 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 7:36 PM,17 Hours,BuildingsUnitsPopulation  198227
"MORRIS - Building 03  1357 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 8:46 PM,16 Hours,BuildingsUnitsPopulation  198226
"MOTT HAVEN - Building 04  340 ALEXANDER AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/27/2020 4:27 PM,20 Hours,BuildingsUnitsPopulation  1122403
"MOTT HAVEN - Building 05  350 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 6:53 AM,9 Hours,BuildingsUnitsPopulation  1130348
"MOTT HAVEN - Building 08  383 EAST 143RD STREET  BRONX, NY 10454",Elevator NO SERVICE,Unplanned,02/28/2020 12:58 AM,4 Hours,BuildingsUnitsPopulation  1117276
"NOSTRAND - Building 05  3062 AVENUE V  BROOKLYN, NY 11229",Elevator NO SERVICE,Unplanned,02/28/2020 5:02 PM,5 Hours,BuildingsUnitsPopulation  13666
"PARKSIDE - Building 02  2970 BRONX PARK EAST  BRONX, NY 10467",Elevator NO SERVICE,Unplanned,02/29/2020 7:04 AM,4 Hours,BuildingsUnitsPopulation  14884
"PATTERSON - Building 08  308 EAST 145TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:43 PM,4 Hours,BuildingsUnitsPopulation  1104216
"PATTERSON - Building 12  315 EAST 143RD STREET  BRONX, NY 10451",Elevator NO SERVICE,Unplanned,02/28/2020 3:12 PM,3 Hours,BuildingsUnitsPopulation  1104231
"PINK - Building 15  1258 LORING AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/27/2020 6:30 PM,27 Hours,BuildingsUnitsPopulation  163173
"POLO GROUNDS TOWERS - Building 04  2991 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:19 PM,19 Hours,BuildingsUnitsPopulation  1180521
"POLO GROUNDS TOWERS - Building 01  2937 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 9:18 AM,16 Hours,BuildingsUnitsPopulation  1208426
"PSA 6 - Building 01  2770 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 12:12 PM,2 Hours,BuildingsUnitsPopulation  100
"QUEENSBRIDGE SOUTH - Building 08  41-16 12TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/28/2020 7:35 AM,3 Hours,BuildingsUnitsPopulation  13072
"RANGEL - Building 06  159-64 HARLEM RIVER DRIVE  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 6:35 AM,4 Hours,BuildingsUnitsPopulation  1112264
"RAVENSWOOD - Building 07  21-15 35TH AVENUE  QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,02/28/2020 12:18 PM,4 Hours,BuildingsUnitsPopulation  14893
"RAVENSWOOD - Building 05  34-34 24TH STREET  QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,02/29/2020 10:53 AM,4 Hours,BuildingsUnitsPopulation  14887
"RED HOOK EAST - Building 11  36 WEST 9TH STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/28/2020 7:48 AM,3 Hours,BuildingsUnitsPopulation  13659
"RED HOOK WEST - Building 18  70 BUSH STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/28/2020 9:21 AM,3 Hours,BuildingsUnitsPopulation  13056
"RED HOOK WEST - Building 01  80 DWIGHT STREET  BROOKLYN, NY 11231",Elevator PARTIAL SERVICE,Unplanned,02/29/2020 9:28 AM,2 Hours,BuildingsUnitsPopulation  197219
"RED HOOK WEST - Building 19  426 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/27/2020 9:54 PM,6 Hours,BuildingsUnitsPopulation  13085
"RED HOOK WEST - Building 22  472 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/28/2020 12:41 PM,2 Hours,BuildingsUnitsPopulation  13656
"RIIS - Building 05  1141 FDR DRIVE  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:17 PM,4 Hours,BuildingsUnitsPopulation  1124264
"RIIS - Building 08  465 EAST 10TH STREET  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 12:47 AM,11 Hours,BuildingsUnitsPopulation  1117242
"RIIS II - Building 14  765 FDR DRIVE  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 5:46 PM,21 Hours,BuildingsUnitsPopulation  1117246
"ROOSEVELT II - Building 08  383 PULASKI STREET  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/28/2020 4:17 PM,4 Hours,BuildingsUnitsPopulation  1119219
