,Address,Interruption,Planned,Reported On,Restoration Time,Impact
57,"ISAACS - Building 03  1806 1ST AVENUE  NEW YORK, NY 10128",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 6:31 PM,13 Hours,BuildingsUnitsPopulation  1207410
58,"JACKSON - Building 02  300 EAST 158TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:47 AM,5 Hours,BuildingsUnitsPopulation  1123317
59,"JACKSON - Building 05  301 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 11:58 PM,12 Hours,BuildingsUnitsPopulation  1125319
60,"JEFFERSON - Building 03  330 EAST 115TH STREET  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/25/2020 3:00 PM,4 Hours,BuildingsUnitsPopulation  12767
61,"JEFFERSON - Building 02  322 EAST 115TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:53 AM,3 Hours,BuildingsUnitsPopulation  154124
62,"JOHNSON - Building 03  1565 PARK AVENUE  NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,02/24/2020 1:21 PM,2 Hours,BuildingsUnitsPopulation  12466
63,"JOHNSON - Building 07  165 EAST 112TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 7:24 AM,4 Hours,BuildingsUnitsPopulation  1108209
64,"JOHNSON - Building 05  1830 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 2:49 PM,20 Hours,BuildingsUnitsPopulation  194239
65,"JOHNSON - Building 10  1839 LEXINGTON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 6:33 AM,4 Hours,BuildingsUnitsPopulation  1105244
66,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 03  1715 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/24/2020 12:17 PM,2 Hours,BuildingsUnitsPopulation  154123
67,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 20  1775 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/24/2020 9:14 AM,2 Hours,BuildingsUnitsPopulation  15497
68,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 21  1791 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/25/2020 6:47 AM,4 Hours,BuildingsUnitsPopulation  154115
69,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 22  1805 BRUCKNER BOULEVARD  BRONX, NY 10472",Elevator NO SERVICE,Unplanned,02/24/2020 9:12 AM,1 Hours,BuildingsUnitsPopulation  15499
70,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 24  1810 WATSON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Planned,02/24/2020 1:00 PM,1 Hours,BuildingsUnitsPopulation  148105
71,"JUSTICE SONIA SOTOMAYOR HOUSES - Building 26  1836 WATSON AVENUE  BRONX, NY 10472",Elevator NO SERVICE,Planned,02/24/2020 1:00 PM,2 Hours,BuildingsUnitsPopulation  154124
72,"KING TOWERS - Building 08  41 WEST 112TH STREET  NEW YORK, NY 10026",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:12 PM,11 Hours,BuildingsUnitsPopulation  1154302
73,"KINGSBOROUGH - Building 01  154 KINGSBOROUGH 1ST WALK  BROOKLYN, NY 11233",Elevator NO SERVICE,Unplanned,02/24/2020 1:18 PM,2 Hours,BuildingsUnitsPopulation  13665
74,"KINGSBOROUGH - Building 14  641 KINGSBOROUGH 6TH WALK  BROOKLYN, NY 11233",Elevator NO SERVICE,Unplanned,02/25/2020 1:47 PM,6 Hours,BuildingsUnitsPopulation  13656
75,"KINGSBOROUGH EXTENSION - Building 17  447 KINGSBOROUGH 4TH WALK  BROOKLYN, NY 11233",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 2:55 PM,7 Hours,BuildingsUnitsPopulation  1184199
76,"LA GUARDIA - Building 06  250 CLINTON STREET  NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 2:29 PM,1 Hours,BuildingsUnitsPopulation  1124276
77,"LAFAYETTE - Building 05  411 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:45 AM,4 Hours,BuildingsUnitsPopulation  1102285
78,"LAFAYETTE - Building 06  415 LAFAYETTE AVENUE  BROOKLYN, NY 11238",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 5:27 PM,18 Hours,BuildingsUnitsPopulation  1102258
79,"LAFAYETTE - Building 02  456 DEKALB AVENUE  BROOKLYN, NY 11205",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:12 AM,3 Hours,BuildingsUnitsPopulation  1154458
80,"LEHMAN - Building 03  1595 MADISON AVENUE  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:00 AM,2 Hours,BuildingsUnitsPopulation  1154381
81,"LEHMAN - Building 02  80 EAST 110TH STREET  NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 2:22 PM,23 Hours,BuildingsUnitsPopulation  1157327
82,"LINCOLN - Building 04  2101 MADISON AVENUE  NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 10:41 AM,3 Hours,BuildingsUnitsPopulation  1126289
83,"LINCOLN - Building 10  2110 MADISON AVENUE  NEW YORK, NY 10037",Elevator NO SERVICE,Unplanned,02/24/2020 4:24 PM,2 Hours,BuildingsUnitsPopulation  12465
84,"MARBLE HILL - Building 05  2831 EXTERIOR STREET  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 5:41 PM,6 Hours,BuildingsUnitsPopulation  1154289
85,"MARBLE HILL - Building 07  5480 BROADWAY  BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:31 AM,2 Hours,BuildingsUnitsPopulation  1147281
86,"MARCY - Building 24  125 NOSTRAND AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/25/2020 2:49 AM,16 Hours,BuildingsUnitsPopulation  12470
87,"MARCY - Building 15  51 NOSTRAND AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/24/2020 6:17 AM,4 Hours,BuildingsUnitsPopulation  12459
88,"MARCY - Building 21  554 MARCY AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/25/2020 2:07 PM,1 Hours,BuildingsUnitsPopulation  12458
89,"MARCY - Building 26  566 PARK AVENUE  BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,02/25/2020 2:25 PM,2 Hours,BuildingsUnitsPopulation  12440
90,"MARLBORO - Building 11  2220 WEST 11TH STREET  BROOKLYN, NY 11223",Elevator NO SERVICE,Unplanned,02/24/2020 11:44 PM,4 Hours,BuildingsUnitsPopulation  156135
91,"MARLBORO - Building 17  2295 WEST 11TH STREET  BROOKLYN, NY 11223",Elevator NO SERVICE,Unplanned,02/24/2020 9:38 AM,4 Hours,BuildingsUnitsPopulation  156112
92,"MARLBORO - Building 16  2780 86TH STREET  BROOKLYN, NY 11223",Elevator NO SERVICE,Unplanned,02/24/2020 8:01 AM,3 Hours,BuildingsUnitsPopulation  156111
93,"MCKINLEY - Building 03  730 EAST 163RD STREET  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 11:55 PM,5 Hours,BuildingsUnitsPopulation  1122294
94,"MCKINLEY - Building 07  905 TINTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:25 AM,5 Hours,BuildingsUnitsPopulation  1124292
95,"MELROSE - Building 06  304 EAST 156TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/23/2020 1:08 PM,50 Hours,BuildingsUnitsPopulation  1136305
96,"MELROSE - Building 03  321 EAST 153RD STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 3:40 PM,6 Hours,BuildingsUnitsPopulation  1140292
97,"MELROSE - Building 01  681 COURTLANDT AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:46 AM,6 Hours,BuildingsUnitsPopulation  1109346
98,"MITCHEL - Building 09  177 WILLIS AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 12:03 PM,2 Hours,BuildingsUnitsPopulation  1180372
99,"MITCHEL - Building 08  225 WILLIS AVENUE  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:36 AM,6 Hours,BuildingsUnitsPopulation  1183421
100,"MITCHEL - Building 02  300 EAST 138TH STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 6:53 AM,6 Hours,BuildingsUnitsPopulation  1173425
101,"MORRIS - Building 09  1372 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:52 AM,18 Hours,BuildingsUnitsPopulation  198206
102,"MORRIS II - Building 14  1480 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 5:20 PM,11 Hours,BuildingsUnitsPopulation  198236
103,"MORRIS II - Building 15  1481 WASHINGTON AVENUE  BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:24 AM,3 Hours,BuildingsUnitsPopulation  198198
104,"MOTT HAVEN - Building 03  353 EAST 141ST STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 3:33 PM,4 Hours,BuildingsUnitsPopulation  1130302
105,"MOTT HAVEN - Building 07  355 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 9:15 AM,6 Hours,BuildingsUnitsPopulation  1117273
106,"MOTT HAVEN - Building 02  383 EAST 141ST STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 8:56 AM,4 Hours,BuildingsUnitsPopulation  1130316
107,"MOTT HAVEN - Building 08  383 EAST 143RD STREET  BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 9:13 AM,3 Hours,BuildingsUnitsPopulation  1117276
108,"NOSTRAND - Building 02  3004 AVENUE V  BROOKLYN, NY 11229",Elevator NO SERVICE,Unplanned,02/24/2020 6:36 PM,4 Hours,BuildingsUnitsPopulation  13668
109,"O'DWYER GARDENS - Building 03  2950 WEST 33RD STREET  BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 8:32 AM,2 Hours,BuildingsUnitsPopulation  193161
110,"PARK AVENUE-EAST 122ND (123RD STREET) - Building 01  120 EAST 123RD STREET  NEW YORK, NY 10035",Elevator NO SERVICE,Unplanned,02/25/2020 11:43 AM,3 Hours,BuildingsUnitsPopulation  148103
111,"PARKSIDE - Building 13  2950 BRONX PARK EAST  BRONX, NY 10467",Elevator NO SERVICE,Unplanned,02/24/2020 9:17 AM,2 Hours,BuildingsUnitsPopulation  12860
112,"PATTERSON - Building 02  2615 3RD AVENUE  BRONX, NY 10451",Elevator NO SERVICE,Unplanned,02/24/2020 9:07 AM,2 Hours,BuildingsUnitsPopulation  142113
113,"PATTERSON - Building 10  328 EAST 145TH STREET  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 9:27 AM,9 Hours,BuildingsUnitsPopulation  1104233
114,"PATTERSON - Building 11  338 EAST 145TH STREET  BRONX, NY 10451",Elevator NO SERVICE,Unplanned,02/24/2020 4:30 PM,3 Hours,BuildingsUnitsPopulation  142103
115,"PATTERSON - Building 05  370 MORRIS AVENUE  BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 8:29 AM,5 Hours,BuildingsUnitsPopulation  1104233
116,"PELHAM PARKWAY - Building 01  920 MACE AVENUE  BRONX, NY 10469",Elevator NO SERVICE,Unplanned,02/24/2020 12:18 PM,2 Hours,BuildingsUnitsPopulation  13060
117,"PENNSYLVANIA AVENUE-WORTMAN AVENUE - Building 01  875 PENNSYLVANIA AVENUE  BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,02/25/2020 3:47 PM,3 Hours,BuildingsUnitsPopulation  1207308
118,"PINK - Building 17  1306 LORING AVENUE  BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,02/24/2020 9:00 AM,2 Hours,BuildingsUnitsPopulation  163138
119,"POLO GROUNDS TOWERS - Building 02  2979 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 4:30 PM,7 Hours,BuildingsUnitsPopulation  1208472
120,"POMONOK - Building 27  155-22 JEWEL AVENUE  QUEENS, NY 11367",Elevator NO SERVICE,Unplanned,02/25/2020 11:35 AM,8 Hours,BuildingsUnitsPopulation  12855
121,"POMONOK - Building 12  67-37 KISSENA BLVD.  QUEENS, NY 11367",Elevator NO SERVICE,Unplanned,02/24/2020 11:56 AM,3 Hours,BuildingsUnitsPopulation  12954
122,"PSA 6 - Building 01  2770 F DOUGLASS BOULEVARD  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 8:44 AM,29 Hours,BuildingsUnitsPopulation  100
123,"QUEENSBRIDGE SOUTH - Building 16  41-11 10TH STREET  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/25/2020 10:00 AM,3 Hours,BuildingsUnitsPopulation  13660
124,"QUEENSBRIDGE SOUTH - Building 25  41-14 VERNON BLVD.  QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,02/24/2020 4:20 PM,20 Hours,BuildingsUnitsPopulation  13665
125,"RANGEL - Building 04  159-38 HARLEM RIVER DRIVE  NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 4:31 PM,4 Hours,BuildingsUnitsPopulation  1112254
126,"RAVENSWOOD - Building 07  21-15 35TH AVENUE  QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,02/24/2020 8:30 AM,35 Hours,BuildingsUnitsPopulation  14893
127,"RAVENSWOOD - Building 25  35-06 21ST STREET  QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,02/25/2020 3:51 PM,3 Hours,BuildingsUnitsPopulation  148104
128,"RED HOOK EAST - Building 06  791 HICKS STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/25/2020 3:04 PM,3 Hours,BuildingsUnitsPopulation  13160
129,"RED HOOK WEST - Building 22  466 COLUMBIA STREET  BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,02/24/2020 6:47 PM,5 Hours,BuildingsUnitsPopulation  12456
130,"REDFERN - Building 07  12-50 REDFERN AVENUE  QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,02/24/2020 7:52 AM,4 Hours,BuildingsUnitsPopulation  148174
131,"REHAB PROGRAM (WISE REHAB) - Building 01  54 WEST 94TH STREET  NEW YORK, NY 10025",Elevator NO SERVICE,Unplanned,02/23/2020 3:40 PM,28 Hours,BuildingsUnitsPopulation  14069
132,"RIIS - Building 02  170 AVENUE D  NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 1:23 PM,1 Hours,BuildingsUnitsPopulation  1117216
133,"ROOSEVELT I - Building 04  109 LEWIS AVENUE  BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,02/25/2020 10:24 AM,5 Hours,BuildingsUnitsPopulation  1159180
134,"ROOSEVELT I - Building 06  128 LEWIS AVENUE  BROOKLYN, NY 11221",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 4:24 PM,21 Hours,BuildingsUnitsPopulation  1117307
135,"ROOSEVELT I - Building 02  927 DEKALB AVENUE  BROOKLYN, NY 11221",Elevator PARTIAL SERVICE,Unplanned,02/24/2020 11:39 AM,4 Hours,BuildingsUnitsPopulation  1116281
